business_unit,line_item,month,commentary,has_known_driver
Customer Support,COGS,2026-02-01,COGS in Customer Support was 10% over budget; 17% above trend forecast in February 2026. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Marketing,2025-07-01,Opex: Marketing in Customer Support was 33% under budget in July 2025. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Marketing,2025-09-01,Opex: Marketing in Customer Support was 52% above trend forecast in September 2025. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Marketing,2025-10-01,Opex: Marketing in Customer Support was 42% above trend forecast in October 2025. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Marketing,2026-02-01,Opex: Marketing in Customer Support was 48% over budget; 42% above trend forecast in February 2026. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Salaries,2026-01-01,Opex: Salaries in Customer Support was 25% over budget; 26% above trend forecast in January 2026. Driver: overtime surge covering holiday-period ticket volume.,True
Customer Support,Opex: Salaries,2026-02-01,Opex: Salaries in Customer Support was 11% below trend forecast in February 2026. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Salaries,2026-03-01,Opex: Salaries in Customer Support was 8% below trend forecast in March 2026. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Salaries,2026-04-01,Opex: Salaries in Customer Support was 9% below trend forecast in April 2026. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Opex: Salaries,2026-07-01,Opex: Salaries in Customer Support was 8% above trend forecast in July 2026. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Revenue,2025-09-01,Revenue in Customer Support was 12% below trend forecast in September 2025. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Revenue,2025-12-01,Revenue in Customer Support was 11% above trend forecast in December 2025. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Revenue,2026-02-01,Revenue in Customer Support was 12% under budget in February 2026. Driver: pending analyst review - no known one-off cause on file.,False
Customer Support,Revenue,2026-05-01,Revenue in Customer Support was 14% above trend forecast in May 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,COGS,2025-11-01,COGS in Digital Products was 9% above trend forecast in November 2025. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,COGS,2026-01-01,COGS in Digital Products was 12% above trend forecast in January 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,COGS,2026-07-01,COGS in Digital Products was 9% above trend forecast in July 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Headcount Cost,2025-10-01,Headcount Cost in Digital Products was 8% below trend forecast in October 2025. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Headcount Cost,2026-03-01,Headcount Cost in Digital Products was 15% over budget; 14% above trend forecast in March 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Opex: Marketing,2026-04-01,Opex: Marketing in Digital Products was 30% over budget; 30% above trend forecast in April 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Opex: Other,2026-03-01,Opex: Other in Digital Products was 20% above trend forecast in March 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Opex: Salaries,2026-09-01,Opex: Salaries in Digital Products was 7% over budget; 8% above trend forecast in September 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Revenue,2025-06-01,Revenue in Digital Products was 12% under budget in June 2025. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Revenue,2025-09-01,Revenue in Digital Products was 15% over budget; 22% above trend forecast in September 2025. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Revenue,2026-02-01,"Revenue in Digital Products was 20% under budget; 17% below trend forecast in February 2026. Driver: product launch delayed to next quarter, revenue recognition pushed out.",True
Digital Products,Revenue,2026-03-01,Revenue in Digital Products was 17% above trend forecast in March 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Revenue,2026-04-01,Revenue in Digital Products was 15% above trend forecast in April 2026. Driver: pending analyst review - no known one-off cause on file.,False
Digital Products,Revenue,2026-09-01,Revenue in Digital Products was 13% over budget; 14% above trend forecast in September 2026. Driver: pending analyst review - no known one-off cause on file.,False
